Ex-Dividend Date,Type,Payout Amount,Change
2020-03-26,Dividend,$0.61,-30.70%
2019-12-24,Dividend,$0.89,26.57%
2019-09-16,Dividend,$0.70,27.97%
2019-06-17,Dividend,$0.55,-29.15%
2019-03-25,Dividend,$0.77,7.07%
2018-12-24,Dividend,$0.72,0.98%
2018-09-28,Dividend,$0.71,18.41%
2018-06-22,Dividend,$0.60,6.54%
2018-03-22,Dividend,$0.57,-15.90%
2017-12-21,Dividend,$0.67,21.70%
2017-09-22,Dividend,$0.55,-3.83%
2017-06-21,Dividend,$0.58,6.09%
2017-03-24,Dividend,$0.54,-25.45%
2016-12-20,Dividend,$0.73,34.88%
2016-09-13,Dividend,$0.54,14.93%
2016-06-14,Dividend,$0.47,-2.29%
2016-03-15,Dividend,$0.48,-17.67%
2015-12-21,Dividend,$0.58,14.76%
2015-09-25,Dividend,$0.51,8.55%
2015-06-26,Dividend,$0.47,-7.87%
2015-03-25,Dividend,$0.51,-9.45%
2014-12-22,Dividend,$0.56,20.65%
2014-09-24,Dividend,$0.47,10.71%
2014-06-24,Dividend,$0.42,-0.71%
2014-03-25,Dividend,$0.42,-14.37%
2013-12-20,Dividend,$0.49,15.15%
2013-09-23,Dividend,$0.43,11.14%
2013-06-24,Dividend,$0.39,6.04%
2013-03-22,Dividend,$0.36,-33.21%
2012-12-20,Dividend,$0.55,49.73%
2012-09-24,Dividend,$0.36,5.20%
2012-06-25,Dividend,$0.35,12.34%
2012-03-26,Dividend,$0.31,-14.68%
2011-12-21,Dividend,$0.36,17.97%
2011-09-23,Dividend,$0.31,8.13%
2011-06-24,Dividend,$0.28,--
2011-03-25,Dividend,$0.28,-18.21%
2010-12-22,Dividend,$0.35,16.50%
2010-09-24,Dividend,$0.30,10.41%
2010-06-24,Dividend,$0.27,13.98%
2010-03-25,Dividend,$0.24,-34.08%
2009-12-22,Dividend,$0.36,44.35%
2009-09-24,Dividend,$0.25,11.21%
2009-06-24,Dividend,$0.22,-19.78%
2009-03-25,Dividend,$0.28,-17.01%
2008-12-22,Dividend,$0.34,13.18%
2008-09-24,Dividend,$0.30,-5.43%
2008-06-24,Dividend,$0.31,--
2008-06-18,Split,2-1-for-1 Stock Split,N/A
2008-03-25,Dividend,$0.62,-19.20%
2007-12-20,Dividend,$0.77,20.09%
2007-09-24,Dividend,$0.64,12.43%
2007-06-25,Dividend,$0.57,-6.55%
2007-03-26,Dividend,$0.61,-14.19%
2006-12-22,Dividend,$0.71,34.59%
2006-09-25,Dividend,$0.53,-1.12%
2006-06-26,Dividend,$0.54,103.42%
2006-03-20,Dividend,$0.26,-21.73%
2005-12-27,Dividend,$0.34,-41.05%
2005-09-26,Dividend,$0.57,41.44%
2005-06-27,Dividend,$0.40,-7.99%
2005-03-24,Dividend,$0.44,-44.20%
2004-12-27,Dividend,$0.79,102.84%
2004-09-27,Dividend,$0.39,1.84%
2004-06-28,Dividend,$0.38,8.57%
2004-03-29,Dividend,$0.35,-20.81%
2003-12-22,Dividend,$0.44,30.00%
2003-09-29,Dividend,$0.34,13.33%
2003-06-23,Dividend,$0.30,--
2003-03-31,Dividend,$0.30,-23.47%
2002-12-23,Dividend,$0.39,30.67%
2002-09-30,Dividend,$0.30,15.38%
2002-06-24,Dividend,$0.26,-13.33%
2002-03-25,Dividend,$0.30,-23.66%
2001-12-24,Dividend,$0.39,24.76%
2001-09-24,Dividend,$0.32,12.50%
2001-06-25,Dividend,$0.28,--
